country_code,country_name,score_2018,score_2022
AFG,Afghanistan,2.970000028610229,0.3199999928474426
AGO,Angola,3.619999885559082,3.9600000381469727
ALB,Albania,5.980000019073486,6.409999847412109
ARE,United Arab Emirates,2.759999990463257,2.900000095367432
ARG,Argentina,7.019999980926514,6.849999904632568
ARM,Armenia,4.789999961853027,5.630000114440918
AUS,Australia,9.09000015258789,8.710000038146973
AUT,Austria,8.289999961853027,8.199999809265137
AZE,Azerbaijan,2.650000095367432,2.869999885559082
BDI,Burundi,2.3299999237060547,2.130000114440918
BEL,Belgium,7.78000020980835,7.639999866485596
BEN,Benin,5.739999771118164,4.28000020980835
BFA,Burkina Faso,4.75,3.0799999237060547
BGD,Bangladesh,5.570000171661377,5.989999771118164
BGR,Bulgaria,7.03000020980835,6.53000020980835
BHR,Bahrain,2.7100000381469727,2.5199999809265137
BIH,Bosnia and Herzegovina,4.980000019073486,5.0
BLR,Belarus,3.130000114440918,1.9900000095367432
BOL,Bolivia,5.699999809265137,4.510000228881836
BRA,Brazil,6.96999979019165,6.78000020980835
BTN,Bhutan,5.300000190734863,5.539999961853027
BWA,Botswana,7.809999942779541,7.730000019073486
CAF,Central African Republic,1.5199999809265137,1.350000023841858
CAN,Canada,9.149999618530272,8.880000114440918
CHE,Switzerland,9.029999732971191,9.140000343322754
CHL,Chile,7.96999979019165,8.220000267028809
CHN,China,3.319999933242798,1.940000057220459
CIV,Cote d'Ivoire,4.150000095367432,4.21999979019165
CMR,Cameroon,3.2799999713897705,2.559999942779541
COD,"Congo, Dem. Rep.",1.4900000095367432,1.4800000190734863
COG,"Congo, Rep.",3.309999942779541,2.789999961853028
COL,Colombia,6.960000038146973,6.71999979019165
COM,Comoros,3.7100000381469727,3.200000047683716
CPV,Cabo Verde,7.880000114440918,7.650000095367432
CRI,Costa Rica,8.069999694824219,8.289999961853027
CUB,Cuba,3.0,2.650000095367432
CYP,Cyprus,7.590000152587891,7.380000114440918
CZE,Czechia,7.690000057220459,7.96999979019165
DEU,Germany,8.680000305175781,8.800000190734863
DJI,Djibouti,2.869999885559082,2.740000009536743
DNK,Denmark,9.220000267028809,9.279999732971191
DOM,Dominican Republic,6.539999961853027,6.389999866485596
DZA,Algeria,3.5,3.660000085830689
ECU,Ecuador,6.269999980926514,5.690000057220459
EGY,"Egypt, Arab Rep.",3.359999895095825,2.930000066757202
ERI,Eritrea,2.369999885559082,2.0299999713897705
ESP,Spain,8.079999923706055,8.069999694824219
EST,Estonia,7.96999979019165,7.960000038146973
ETH,Ethiopia,3.3499999046325684,3.1700000762939453
FIN,Finland,9.140000343322754,9.289999961853027
FJI,Fiji,5.849999904632568,5.550000190734863
FRA,France,7.800000190734863,8.069999694824219
GAB,Gabon,3.609999895095825,3.400000095367432
GBR,United Kingdom,8.529999732971191,8.279999732971191
GEO,Georgia,5.5,5.199999809265137
GHA,Ghana,6.630000114440918,6.429999828338623
GIN,Guinea,3.140000104904175,2.319999933242798
GMB,"Gambia, The",4.309999942779541,4.46999979019165
GNB,Guinea-Bissau,1.9800000190734863,2.559999942779541
GNQ,Equatorial Guinea,1.919999957084656,1.919999957084656
GRC,Greece,7.289999961853027,7.96999979019165
GTM,Guatemala,5.599999904632568,4.679999828338623
GUY,Guyana,6.670000076293945,6.340000152587891
HKG,"Hong Kong SAR, China",6.150000095367432,5.28000020980835
HND,Honduras,5.630000114440918,5.150000095367432
HRV,Croatia,6.570000171661377,6.5
HTI,Haiti,4.909999847412109,2.809999942779541
HUN,Hungary,6.630000114440918,6.639999866485596
IDN,Indonesia,6.389999866485596,6.710000038146973
IND,India,7.230000019073486,7.039999961853027
IRL,Ireland,9.149999618530272,9.130000114440918
IRN,"Iran, Islamic Rep.",2.450000047683716,1.9600000381469729
IRQ,Iraq,4.059999942779541,3.130000114440918
ISL,Iceland,9.579999923706056,9.520000457763672
ISR,Israel,7.789999961853027,7.929999828338623
ITA,Italy,7.710000038146973,7.690000057220459
JAM,Jamaica,7.019999980926514,7.130000114440918
JOR,Jordan,3.930000066757202,3.1700000762939453
JPN,Japan,7.989999771118164,8.329999923706055
KAZ,Kazakhstan,2.940000057220459,3.0799999237060547
KEN,Kenya,5.110000133514404,5.050000190734863
KGZ,Kyrgyz Republic,5.110000133514404,3.619999885559082
KHM,Cambodia,3.5899999141693115,3.180000066757202
KOR,"Korea, Rep.",8.0,8.029999732971191
KWT,Kuwait,3.849999904632568,3.829999923706055
LAO,Lao PDR,2.369999885559082,1.7699999809265137
LBN,Lebanon,4.630000114440918,3.640000104904175
LBR,Liberia,5.349999904632568,5.429999828338623
LBY,Libya,2.190000057220459,2.059999942779541
LKA,Sri Lanka,6.190000057220459,6.46999979019165
LSO,Lesotho,6.639999866485596,6.190000057220459
LTU,Lithuania,7.5,7.309999942779541
LUX,Luxembourg,8.8100004196167,8.8100004196167
LVA,Latvia,7.380000114440918,7.369999885559082
MAR,Morocco,4.989999771118164,5.039999961853027
MDA,Moldova,5.849999904632568,6.230000019073486
MDG,Madagascar,5.21999979019165,5.699999809265137
MEX,Mexico,6.190000057220459,5.25
MKD,North Macedonia,5.869999885559082,6.099999904632568
MLI,Mali,5.409999847412109,3.2300000190734863
MLT,Malta,8.210000038146973,7.699999809265137
MMR,Myanmar,3.829999923706055,0.7400000095367432
MNE,Montenegro,5.739999771118164,6.449999809265137
MNG,Mongolia,6.5,6.349999904632568
MOZ,Mozambique,3.849999904632568,3.509999990463257
MRT,Mauritania,3.819999933242798,4.03000020980835
MUS,Mauritius,8.220000267028809,8.140000343322754
MWI,Malawi,5.489999771118164,5.909999847412109
MYS,Malaysia,6.880000114440918,7.300000190734863
NAM,Namibia,6.25,6.519999980926514
NER,Niger,3.759999990463257,3.7300000190734863
NGA,Nigeria,4.440000057220459,4.230000019073486
NIC,Nicaragua,3.630000114440918,2.5
NLD,Netherlands,8.890000343322754,9.0
NOR,Norway,9.869999885559082,9.8100004196167
NPL,Nepal,5.179999828338623,4.489999771118164
NZL,New Zealand,9.260000228881836,9.609999656677246
OMN,Oman,3.039999961853028,3.119999885559082
PAK,Pakistan,4.170000076293945,4.130000114440918
PAN,Panama,7.050000190734863,6.909999847412109
PER,Peru,6.599999904632568,5.920000076293945
PHL,Philippines,6.710000038146973,6.730000019073486
PNG,Papua New Guinea,6.03000020980835,5.96999979019165
POL,Poland,6.670000076293945,7.039999961853027
PRK,"Korea, Dem. People's Rep.",1.0800000429153442,1.0800000429153442
PRT,Portugal,7.840000152587891,7.949999809265137
PRY,Paraguay,6.239999771118164,5.889999866485596
PSE,West Bank and Gaza,4.389999866485596,3.859999895095825
QAT,Qatar,3.190000057220459,3.650000095367432
ROU,Romania,6.380000114440918,6.449999809265137
RUS,Russian Federation,2.940000057220459,2.2799999713897705
RWA,Rwanda,3.3499999046325684,3.0999999046325684
SAU,Saudi Arabia,1.9299999475479128,2.0799999237060547
SDN,Sudan,2.150000095367432,2.470000028610229
SEN,Senegal,6.150000095367432,5.71999979019165
SGP,Singapore,6.380000114440918,6.21999979019165
SLE,Sierra Leone,4.659999847412109,5.03000020980835
SLV,El Salvador,5.960000038146973,5.059999942779541
SRB,Serbia,6.409999847412109,6.329999923706055
SUR,Suriname,6.980000019073486,6.949999809265137
SVK,Slovak Republic,7.099999904632568,7.070000171661377
SVN,Slovenia,7.5,7.75
SWE,Sweden,9.390000343322754,9.390000343322754
SWZ,Eswatini,3.0299999713897705,3.009999990463257
SYR,Syrian Arab Republic,1.4299999475479126,1.4299999475479126
TCD,Chad,1.6100000143051147,1.6699999570846558
TGO,Togo,3.0999999046325684,2.990000009536743
THA,Thailand,4.630000114440918,6.670000076293945
TJK,Tajikistan,1.9299999475479128,1.940000057220459
TKM,Turkmenistan,1.7200000286102295,1.659999966621399
TLS,Timor-Leste,7.190000057220459,7.059999942779541
TTO,Trinidad and Tobago,7.159999847412109,7.159999847412109
TUN,Tunisia,6.409999847412109,5.510000228881836
TUR,Turkiye,4.369999885559082,4.349999904632568
TWN,"Taiwan, China",7.730000019073486,8.989999771118164
TZA,Tanzania,5.409999847412109,5.099999904632568
UGA,Uganda,5.199999809265137,4.550000190734863
UKR,Ukraine,5.690000057220459,5.420000076293945
URY,Uruguay,8.380000114440918,8.90999984741211
USA,United States,7.960000038146973,7.849999904632568
UZB,Uzbekistan,2.009999990463257,2.119999885559082
VEN,"Venezuela, RB",3.1600000858306885,2.2300000190734863
VNM,Viet Nam,3.0799999237060547,2.7300000190734863
YEM,"Yemen, Rep.",1.950000047683716,1.950000047683716
ZAF,South Africa,7.239999771118164,7.050000190734863
ZMB,Zambia,5.610000133514404,5.800000190734863
ZWE,Zimbabwe,3.1600000858306885,2.9200000762939453
